TIME,PDCSAP_FLUX
3205.7677903945587,15283.396
3205.788222038427,15273.885
3205.808653782071,15279.349
3205.829085325713,15280.8125
3205.8495169693488,15275.184
3205.8699487127597,15277.21
3205.8903802560526,15280.307
3205.910811899339,15291.893
3205.9312435425163,15269.202
3205.951675185577,15268.824
3205.972106828631,15262.498
3205.9925384715752,15181.572
3206.012970114287,15025.748
3206.0334018571084,14881.116
3206.0538334997036,14914.039
3206.074265042298,15081.15
3206.094696784654,15225.944
3206.1151284270163,15270.5
3206.135559969378,15283.389
3206.155991711501,15293.9375
3206.1764233536305,15280.109
3206.196854895643,15275.865
3206.217286637533,15279.25
3206.237718,15277.858
3206.2581498212094,15272.392
3206.2785815628667,15268.343
3206.299013204414,15269.458
3206.3194447458445,15271.897
3206.339876487269,15273.159
3206.3603081285837,15256.319
3206.3807398697754,15267.301
3206.401171410973,15270.709
3206.4216030520547,15271.557
3206.4420347930136,15266.417
3206.462466333862,15277.623
3206.482897974711,15279.217
3206.503329715437,15263.624
3206.523761356053,15265.306
3206.544192896552,15261.348
3206.564624637045,15270.496
3206.5850562774285,15254.999
3206.6054878176947,15263.6875
3206.625919557955,15259.013
3206.6463511981055,15266.59
3206.666782738139,15259.521
3206.687214,15263.789
3206.707646017967,15260.09
3206.728077757769,15258.177
3206.7485093974465,15258.831
3206.7689409371305,15272.529
3206.7893726766997,15268.971
3206.8098043161444,15270.522
3206.8302358554793,15274.636
3206.8506675948156,15259.351
3206.8710992340275,15279.27
3206.8915308731303,15271.563
3206.911962512233,15265.956
3206.932394151212,15258.285
3206.9528257901984,15262.61
3206.973257428952,15270.139
3206.993689067698,15267.939
3207.014120806336,15272.388
3207.034552444966,15277.64
3207.0549839834857,15276.253
3207.0754157218907,15268.555
3207.0958473601786,15268.7295
3207.1162788984584,15265.404
3207.136710636747,
3207.1571422747948,15271.673
3207.177573812849,15260.496
3207.1980055507884,15269.924
3207.218437188727,15269.553
3207.238868726541,15261.259
3207.2593004642476,15259.196
3207.2797321018297,15259.063
3207.3001636394183,15259.356
3207.320595376892,15268.03
3207.341027014365,15275.886
3207.361458751715,15271.171
3207.3818902889543,
3207.402321926187,15270.4795
3207.422753563311,15275.444
3207.443185200318,15275.554
3207.4636168373254,15269.101
3207.484048474209,15269.076
3207.5044801109834,15273.169
3207.5249117477506,15277.011
3207.5453433844086,15271.845
3207.5657750210667,15264.484
3207.5862066576083,15267.443
3207.606638394027,15273.89
3207.6270699304514,15266.336
3207.6475016667537,15271.399
3207.667933302946,15278.328
3207.6883648391376,15273.91
3207.708796575207,15272.322
3207.7292282111666,15272.743
3207.7496597471254,15275.332
3207.770091482962,15278.956
3207.790523118805,15276.168
3207.810954654531,15270.222
3207.8313863902513,15272.406
3207.8518180258616,15269.522
3207.8722496613555,15287.512
3207.892681296842,15281.233
3207.9131129322195,15288.75
3207.9335445674806,15279.371
3207.9539762027343,15278.858
3207.974407837879,15289.611
3207.9948395730244,15279.776
3208.0152711080445,15279.405
3208.0357027429563,15281.399
3208.056134477869,15274.718
3208.076566112657,15282.401
3208.0969976474516,15282.591
3208.1174293821314,15284.128
3208.1378609168023,15280.221
3208.158292551365,15273.038
3208.1787242858118,15280.846
3208.199156,15283.737
3208.2195874545796,15285.951
3208.240019,15286.884
3208.2604507231154,15279.401
3208.2808824573294,15283.119
3208.3013140914263,15289.006
3208.3217456253988,15280.676
3208.342177,
3208.362608993244,15313.187
3208.383041,15296.976
3208.4034722608485,15288.687
3208.423903894596,15298.292
3208.444336,15284.032
3208.464767161735,15286.327
3208.4851987952497,15294.54
3208.5056304287573,15290.542
3208.526062,15283.598
3208.5464936954377,15287.106
3208.5669253287124,15282.8545
3208.5873570618787,15280.371
3208.6077885950435,15284.786
3208.628220328086,15293.268
3208.648651961019,15284.643
3208.6690834940673,15282.897
3208.689515226877,15275.934
3208.7099468596934,15273.893
3208.730378392509,15282.486
3208.7508101252024,15275.811
3208.771241757786,15277.711
3208.7916732903686,15271.206
3208.812105022829,15279.232
3208.8325366554127,15280.39
3208.8529681877626,
3208.8733999201067,15274.081
3208.893831552341,15267.665
3208.9142631845752,15264.664
3208.934694816686,15280.166
3208.9551264488036,15270.074
3208.975558080914,15280.696
3208.995989712799,15271.106
3209.0164213448006,15272.155
3209.0368529766783,15268.329
3209.057284608447,15278.752
3209.0777162402155,15278.267
3209.098147971861,15272.692
3209.1185795035126,15273.16
3209.1390111351648,15283.922
3209.1594428665776,15279.216
3209.1798743981126,15279.747
3209.2003061295327,15292.174
3209.2207377608283,15285.217
3209.2411692921305,15282.387
3209.261601023434,15290.144
3209.2820326546134,15283.814
3209.3024641856828,15286.312
3209.3228959167536,15284.189
3209.3433275478164,
3209.363759,15272.013
3209.384190809724,15291.533
3209.404622440554,15276.057
3209.425054071391,15273.121
